[CRAWLER] Index initialized. 391 local paths found.
⚠️ Redirecting link in /404.html: /category.html -> /category.html
⚠️ Redirecting link in /404.html: /category.html -> /category.html
⚠️ Redirecting link in /404.html: /category.html -> /category.html
⚠️ Redirecting link in /about.html: /category.html -> /category.html
⚠️ Redirecting link in /about.html: /category.html -> /category.html
⚠️ Redirecting link in /about.html: /category.html -> /category.html
⚠️ Redirecting link in /academy/ai-agents-explained/: /category.html -> /category.html
⚠️ Redirecting link in /academy/ai-agents-explained/: /category.html -> /category.html
⚠️ Redirecting link in /academy/ai-agents-explained/: /category.html -> /category.html
⚠️ Redirecting link in /academy/ai-automation-explained/: /category.html -> /category.html
⚠️ Redirecting link in /academy/ai-automation-explained/: /category.html -> /category.html
⚠️ Redirecting link in /academy/ai-automation-explained/: /category.html -> /category.html
⚠️ Redirecting link in /academy/ai-safety-and-privacy-basics/: /category.html -> /category.html
⚠️ Redirecting link in /academy/ai-safety-and-privacy-basics/: /category.html -> /category.html
⚠️ Redirecting link in /academy/ai-safety-and-privacy-basics/: /category.html -> /category.html
⚠️ Redirecting link in /academy/generative-ai-explained/: /category.html -> /category.html
⚠️ Redirecting link in /academy/generative-ai-explained/: /category.html -> /category.html
⚠️ Redirecting link in /academy/generative-ai-explained/: /category.html -> /category.html
⚠️ Redirecting link in /academy/types-of-ai-tools/: /category.html -> /category.html
⚠️ Redirecting link in /academy/types-of-ai-tools/: /category.html -> /category.html
⚠️ Redirecting link in /academy/types-of-ai-tools/: /category.html -> /category.html
⚠️ Redirecting link in /academy/what-is-ai/: /category.html -> /category.html
⚠️ Redirecting link in /academy/what-is-ai/: /category.html -> /category.html
⚠️ Redirecting link in /academy/what-is-ai/: /category.html -> /category.html
⚠️ Redirecting link in /academy.html: /category.html -> /category.html
⚠️ Redirecting link in /academy.html: /category.html -> /category.html
⚠️ Redirecting link in /academy.html: /category.html -> /category.html
⚠️ Redirecting link in /accessibility.html: /category.html -> /category.html
⚠️ Redirecting link in /accessibility.html: /category.html -> /category.html
⚠️ Redirecting link in /accessibility.html: /category.html -> /category.html
⚠️ Redirecting link in /affiliate-disclosure.html: /category.html -> /category.html
⚠️ Redirecting link in /affiliate-disclosure.html: /category.html -> /category.html
⚠️ Redirecting link in /affiliate-disclosure.html: /category.html -> /category.html
