id,lifecycleStatus,aliases,previousName,pricingModel,hasFreeTier,hasFreeTrial,experienceLevel,targetUsers,platforms,apiAvailable,openSource,selfHosted,lastVerifiedAt,verificationSources
10web,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
activepieces,active,,,free,true,unknown,unknown,unknown,unknown,unknown,true,true,,
ada,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
adalo,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
adcreativeai,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
adobe-firefly,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
ai21-labs,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
aiva,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
akkio,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
amazon-codewhisperer,rebranded,CodeWhisperer|Amazon CodeWhisperer|Amazon Q Developer,Amazon CodeWhisperer,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
anthropic-claude-api,active,,,paid,false,unknown,unknown,unknown,unknown,true,unknown,unknown,,
anyword,active,,,paid,false,true,unknown,unknown,unknown,unknown,unknown,unknown,,
appgyver,acquired,AppGyver|SAP Build|Composer Pro,AppGyver,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
artbreeder,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
askcodi,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
assemblyai,active,,,freemium,true,unknown,unknown,unknown,unknown,true,unknown,unknown,,
attention-insight,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
automator,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
avoma,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
bardeen,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
beatoven,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
beautifulai,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
bildr,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
bing-chat,rebranded,Bing Chat|Bing AI|Sydney|Microsoft Copilot,Bing Chat,free,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
blackbox-ai,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
bluewillow,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
booke-ai,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
boomy,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
botpress,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
brandmark,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
breeze-ai,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
brisk-teaching,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
bubble,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
buffer-ai-assistant,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
canva-ai,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
casetext-cocounsel,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
chatfuel,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
chatgpt,active,,,freemium,true,unknown,unknown,unknown,web|ios|android,unknown,unknown,unknown,,
chatgpt-advanced-data-analysis,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
chorusai,active,,,enterprise,false,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,,
claude,active,,,freemium,true,unknown,unknown,unknown,web|ios|android,unknown,unknown,unknown,,
cleanuppictures,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
clearscope,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
cleo,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
clerkio,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
clickup-ai,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
clipchamp,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
clipdrop,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
coda-ai,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
codeium,active,Windsurf|Exafunction,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
codex-openai,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
cognii,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
cohere-api,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
colormind,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
colossyan,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
consensus,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
contentbot,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
contentshake-ai,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
contentstudio,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
continue,active,,,free,true,unknown,unknown,unknown,extension,unknown,true,unknown,,
copyai,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
copysmith,active,,,paid,false,true,unknown,unknown,unknown,unknown,unknown,unknown,,
coursebox,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
craft,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
