id,category
10web,Development
activepieces,Automation
ada,Business
adalo,Development
adcreativeai,Marketing
adobe-firefly,Design
aiva,Video & Audio
amazon-codewhisperer,Development
anyword,Content Creation
artbreeder,Design
askcodi,Development
assemblyai,Video & Audio
automator,Automation
bardeen,Automation
beatoven,Video & Audio
beautifulai,Design
bildr,Development
blackbox-ai,Development
bluewillow,Design
booke-ai,Business
boomy,Video & Audio
botpress,Business
brandmark,Design
brisk-teaching,Education
bubble,Development
buffer-ai-assistant,Marketing
canva-ai,Design
chatfuel,Business
chatgpt,Productivity
chatgpt-advanced-data-analysis,Research
clipchamp,Video & Audio
clipdrop,Design
clickup-ai,Productivity
claude,Productivity
cleanup.pictures,Design
clearscope,Marketing
coda-ai,Productivity
codeium,Development
codex-openai,Development
cognii,Education
colormind,Design
colossyan,Video & Audio
consensus,Research
contentbot,Content Creation
contentshake-ai,Content Creation
contentstudio,Content Creation
continue,Development
copyai,Content Creation
copysmith,Content Creation
coursebox,Education
craiyon,Design
creatify,Video & Audio
cursor,Development
d-id,Video & Audio
dall-e-3,Design
datarobot,Research
debuild,Development
decktopus,Design
deepgram,Video & Audio
descript,Video & Audio
designify,Design
dify,Development
drift,Business
duet-ai,Productivity
eduaide-ai,Education
elicit,Research
elevenlabs,Video & Audio
fireflies-ai,Productivity
fliki,Video & Audio
forefront-ai,Development
framer,Design
gamma,Design
gemini,Productivity
github-copilot,Development
glean,Productivity
google-bard,Productivity
gradescope,Education
grammarly,Content Creation
guidde,Video & Audio
heygen,Video & Audio
hoppy-copy,Content Creation
hubspot,Marketing
hugging-face,Development
hypotenuse-ai,Content Creation
iask-ai,Research
ideogram,Design
inpaint,Design
intercom,Business
invideo,Video & Audio
jasper,Content Creation
kaiber,Video & Audio
leonardo-ai,Design
lexica,Design
loom,Video & Audio
looka,Design
lumen5,Video & Audio
lunit,Research
magicstudio,Design
make,Automation
markcopy,Content Creation
memberai,Business
midjourney,Design
murf-ai,Video & Audio
namecheap,Business
notion-ai,Productivity
openai-sora,Video & Audio
otter-ai,Productivity
perplexity,Research
pexelsai,Design
photoroom,Design
pictory,Video & Audio
pika,Video & Audio
playground-ai,Design
podcastle,Video & Audio
popai,Content Creation
potion,Video & Audio
prepo,Video & Audio
promptbase,Development
promptly,Development
quillbot,Content Creation
runway,Video & Audio
rytr,Content Creation
scalenut,Content Creation
sembly-ai,Productivity
semanticscholar,Research
sendinblue-brevo,Marketing
sendsteps,Business
shutterstock-ai,Design
simplified,Design
slidesai,Design
soundraw,Video & Audio
